********************************************************************************
LOGGING TIME: 20201005_082229
CLIENT IP: 192.168.43.89
USERNAME: HOME
OS: Windows 7
ARCHITECTURE: amd64
VERSION: 6.1
RESOLUTION: 1366.0 768.0
********************************************************************************
MM, 681, 382, 1602023690687
MM, 673, 377, 16
MM, 240, 24, 343
MM, 649, 369, 0
MM, -300, 24, 0
MM, -31, -92, 0
MM, 189, 62, 0
MM, 325, 120, 16
MM, 475, 179, 0
MM, 611, 238, 15
MM, 650, 251, 0
MM, 760, 323, 16
MM, 843, 383, 0
MM, 885, 426, 16
MM, 886, 435, 0
MM, 882, 439, 15
MM, 854, 444, 0
MM, 771, 448, 16
MM, 660, 448, 0
MM, 527, 442, 15
MM, 366, 418, 0
MM, 209, 381, 16
MM, 55, 347, 0
MM, -80, 310, 16
MM, -104, 287, 0
MM, -63, 275, 15
MM, -24, 272, 0
MM, -2, 272, 16
MM, 1, 273, 0
MM, 4, 274, 15
MM, 14, 279, 0
MM, 31, 285, 16
MM, 63, 299, 0
MM, 106, 319, 16
MM, 154, 341, 0
MM, 171, 352, 15
MM, 229, 386, 0
MM, 278, 415, 16
MM, 322, 445, 0
MM, 361, 468, 15
MM, 378, 481, 0
MM, 388, 486, 16
MM, 390, 488, 0
MM, 392, 490, 16
MM, 392, 490, 62
MM, 392, 490, 0
MM, 390, 490, 156
MM, 390, 490, 16
MM, 389, 490, 31
MM, 389, 490, 0
MM, 388, 489, 31
MM, 391, 481, 0
MM, 409, 462, 16
MM, 429, 441, 0
MM, 453, 427, 15
MM, 473, 413, 16
MM, 479, 411, 0
MM, 490, 406, 15
MM, 503, 401, 16
MM, 509, 397, 0
MM, 512, 393, 16
MM, 513, 383, 0
MM, 513, 376, 15
MM, 513, 376, 0
MM, 510, 372, 16
MM, 502, 372, 0
MM, 497, 371, 15
MM, 492, 371, 0
MM, 491, 371, 16
MM, 491, 373, 0
MM, 504, 380, 16
MM, 523, 385, 0
MM, 544, 388, 15
MM, 559, 388, 0
MM, 571, 388, 16
MM, 578, 388, 0
MM, 585, 383, 15
MM, 587, 379, 0
MM, 588, 372, 16
MM, 592, 362, 0
MM, 595, 351, 16
MM, 602, 338, 0
MM, 606, 330, 15
MM, 608, 322, 0
MM, 609, 319, 16
MM, 611, 316, 0
MM, 612, 313, 15
MM, 615, 313, 16
MM, 614, 313, 78
MM, 609, 313, 0
MM, 606, 313, 16
MM, 601, 314, 0
MM, 591, 314, 15
MM, 579, 314, 0
MM, 555, 319, 16
MM, 519, 319, 0
MM, 467, 319, 15
MM, 464, 319, 0
MM, 452, 320, 16
MM, 421, 325, 0
MM, 384, 338, 16
MM, 352, 354, 0
MM, 292, 391, 15
MM, 283, 397, 0
MM, 231, 425, 16
MM, 149, 471, 0
MM, 51, 520, 15
MM, -47, 554, 0
MM, -96, 582, 16
MM, -88, 602, 0
MM, -82, 618, 16
MM, -54, 624, 0
MM, -44, 635, 15
MM, -29, 645, 0
MM, -18, 654, 16
MM, -11, 661, 0
MM, -5, 663, 15
MM, -5, 666, 0
MM, -6, 668, 16
MM, -7, 668, 0
